error_rates error_rates_percent no_qem errordetect zne zne_and_errordetect
1.000000000000000021e-03 1.000000000000000056e-01 9.017790354096977268e-02 3.792632495828240913e-02 1.778012496608027959e-03 9.009300418116872322e-05
5.000000000000000104e-03 5.000000000000000000e-01 3.726015793653434383e-01 2.047431312419991656e-01 9.448301601153197282e-02 5.012111772533089926e-02
1.000000000000000021e-02 1.000000000000000000e+00 5.504803360990107031e-01 3.626876418063178509e-01 2.587149378650736020e-01 2.816229548180171349e-03
1.499999999999999944e-02 1.500000000000000000e+00 6.993399314242219056e-01 5.281333746274793350e-01 4.302481782108232844e-01 2.694152114546477517e-01
2.000000000000000042e-02 2.000000000000000000e+00 8.603943785840377778e-01 7.417663311151511119e-01 7.139062494081822585e-01 4.998537260054757292e-01
