dist no_qem errordetect zne zne_and_errordetect
2.999999999999999889e-01 1.677379484277950472e-01 7.265553682298431237e-02 1.857837268234963091e-03 1.585398111628499862e-03
7.399999999999999911e-01 8.944873088823213081e-02 3.944698809261715233e-02 9.315294479068647604e-04 1.816265052853927031e-03
1.180000000000000160e+00 5.617831467330614004e-02 2.411646323987981511e-02 4.442343647528268491e-04 5.876492926200072020e-04
1.620000000000000329e+00 4.254381580232702298e-02 1.902426752452579528e-02 6.636273389427627123e-04 3.304064801273876029e-04
2.060000000000000053e+00 3.650789792762643149e-02 1.853060683258689334e-02 1.646664131468189574e-03 9.226348568373010650e-04
2.500000000000000000e+00 3.684493264358068565e-02 1.780844674204140610e-02 1.468328178883759882e-03 2.583475775526089535e-04
