error_rates error_rates_percent no_qem errordetect zne zne_and_errordetect
1.000000000000000021e-03 1.000000000000000056e-01 7.929234620795219679e-02 3.334816147750829796e-02 1.563385007936646818e-03 7.921769522178107449e-05
5.000000000000000104e-03 5.000000000000000000e-01 3.276240882584265379e-01 1.800281732959677916e-01 8.307777983499248231e-02 4.407089611703922383e-02
1.000000000000000021e-02 1.000000000000000000e+00 4.840307400892510103e-01 3.189068821763725858e-01 2.274849338568430135e-01 2.476276776981344192e-03
1.499999999999999944e-02 1.500000000000000000e+00 6.149211922446340406e-01 4.643813255861559131e-01 3.783120494316418170e-01 2.368935557549862458e-01
2.000000000000000042e-02 2.000000000000000000e+00 7.565344309769463926e-01 6.522262153218454372e-01 6.277291804901676819e-01 4.395153706113191783e-01
