dist no_qem errordetect zne zne_and_errordetect
2.999999999999999889e-01 7.554829234135984617e-02 3.413244011168092840e-02 7.078838116438834760e-04 1.152973116919642216e-03
7.399999999999999911e-01 4.168973720109825365e-02 1.864069049313643589e-02 3.112446747710606587e-04 1.373834560389530779e-03
1.180000000000000160e+00 2.913463415973538417e-02 1.254671107320559642e-02 6.317657424559364188e-05 1.746338466639185683e-03
1.620000000000000329e+00 2.122590842789262577e-02 8.632084225481895245e-03 8.804817569063594362e-04 1.295455811117118827e-03
2.060000000000000053e+00 1.889487991040261772e-02 8.357743376289361592e-03 4.526387750586335912e-04 1.043276080366362102e-03
2.500000000000000000e+00 1.776255666997184068e-02 8.237018448294830542e-03 3.377123605619036795e-04 4.941904653232853661e-04
