error_rates error_rates_percent no_qem errordetect zne zne_and_errordetect
1.000000000000000021e-03 1.000000000000000056e-01 8.842104968938224729e-02 3.700433266189295800e-02 1.929237547630968663e-04 2.490961074785857932e-05
5.000000000000000104e-03 5.000000000000000000e-01 3.298075361692982543e-01 1.784017614064103974e-01 9.687257693087003574e-02 4.876249325133730217e-02
1.000000000000000021e-02 1.000000000000000000e+00 6.137082410282346245e-01 3.635963158611132950e-01 3.345264317069395199e-01 3.383520084771673986e-02
1.499999999999999944e-02 1.500000000000000000e+00 6.987210173201778840e-01 5.293983613916705133e-01 5.502560268575416025e-01 2.727078251749356363e-01
2.000000000000000042e-02 2.000000000000000000e+00 8.581284516025069475e-01 7.427763252457744159e-01 7.150139840942629776e-01 5.269679726458932345e-01
