n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal absolute_error relative_error variances
1.000000000000000000e+00 1.000000000000000000e+00 3.850235939025878906e-01 3.850235939025878906e-01 5.000000000000000000e-01 1.149764060974121094e-01 2.299528121948242188e-01 8.517568321383350849e-01
2.000000000000000000e+00 3.000000000000000000e+00 2.337639331817626953e-01 4.606534242630004883e-01 5.000000000000000000e-01 3.934657573699951172e-02 7.869315147399902344e-02 9.453544235433923859e-01
3.000000000000000000e+00 5.000000000000000000e+00 1.435043811798095703e-01 4.835284650325775146e-01 5.000000000000000000e-01 1.647153496742248535e-02 3.294306993484497070e-02 9.794064925821999168e-01
4.000000000000000000e+00 7.000000000000000000e+00 9.130144119262695312e-02 4.906983077526092529e-01 5.000000000000000000e-01 9.301692247390747070e-03 1.860338449478149414e-02 9.916640468361492822e-01
5.000000000000000000e+00 9.000000000000000000e+00 6.138062477111816406e-02 4.926585834473361514e-01 5.000000000000000000e-01 7.341416552663848627e-03 1.468283310532769725e-02 9.962324189027071952e-01
6.000000000000000000e+00 1.100000000000000000e+01 4.416537284851074219e-02 4.928975598886784493e-01 5.000000000000000000e-01 7.102440111321550731e-03 1.420488022264310146e-02 9.980494198411520301e-01
7.000000000000000000e+00 1.300000000000000000e+01 3.421735763549804688e-02 4.926519826985984452e-01 5.000000000000000000e-01 7.348017301401554846e-03 1.469603460280310969e-02 9.988291724364444235e-01
