n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal absolute_error relative_error variances
1.000000000000000000e+00 1.000000000000000000e+00 4.581112861633300781e-01 4.581112861633300781e-01 5.000000000000000000e-01 4.188871383666992188e-02 8.377742767333984375e-02 7.901340494897794997e-01
2.000000000000000000e+00 3.000000000000000000e+00 3.894014358520507812e-01 4.924662113189697266e-01 5.000000000000000000e-01 7.533788681030273438e-03 1.506757736206054688e-02 8.483665217563611805e-01
3.000000000000000000e+00 5.000000000000000000e+00 3.273360729217529297e-01 4.949578940868377686e-01 5.000000000000000000e-01 5.042105913162231445e-03 1.008421182632446289e-02 8.928510953641648484e-01
4.000000000000000000e+00 7.000000000000000000e+00 2.724909782409667969e-01 4.947779625654221691e-01 5.000000000000000000e-01 5.222037434577830872e-03 1.044407486915566174e-02 9.257486667772809596e-01
5.000000000000000000e+00 9.000000000000000000e+00 2.258141040802001953e-01 4.948797281831498474e-01 5.000000000000000000e-01 5.120271816850152646e-03 1.024054363370030529e-02 9.490079903984565135e-01
6.000000000000000000e+00 1.100000000000000000e+01 1.859154701232910156e-01 4.955466678366109434e-01 5.000000000000000000e-01 4.453332163389056575e-03 8.906664326778113150e-03 9.654354379688356858e-01
7.000000000000000000e+00 1.300000000000000000e+01 1.527211666107177734e-01 4.969823209103108042e-01 5.000000000000000000e-01 3.017679089689195848e-03 6.035358179378391696e-03 9.766762452690613827e-01
