n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 4.210577011108398438e-01 4.210577011108398438e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 3.566694259643554688e-01 4.854459762573242188e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 2.541308403015136719e-01 4.941919644673665735e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 1.454331874847412109e-01 4.946001711345853202e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 3.535485267639160156e-02 4.939347032516723246e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 -6.726503372192382812e-03 4.933890427922931199e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 -9.375572204589843750e-03 4.935244852427074225e-01 5.000000000000000000e-01
