n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal absolute_error relative_error variances
1.000000000000000000e+00 1.000000000000000000e+00 4.051098823547363281e-01 4.051098823547363281e-01 5.000000000000000000e-01 9.489011764526367188e-02 1.897802352905273438e-01 8.358859832185316918e-01
2.000000000000000000e+00 3.000000000000000000e+00 2.654612064361572266e-01 4.749342203140258789e-01 5.000000000000000000e-01 2.506577968597412109e-02 5.013155937194824219e-02 9.295303478774599171e-01
3.000000000000000000e+00 5.000000000000000000e+00 1.745264530181884766e-01 4.932019412517547607e-01 5.000000000000000000e-01 6.798058748245239258e-03 1.359611749649047852e-02 9.695405171968900504e-01
4.000000000000000000e+00 7.000000000000000000e+00 1.146416664123535156e-01 4.987219274044036865e-01 5.000000000000000000e-01 1.278072595596313477e-03 2.556145191192626953e-03 9.868572883221986558e-01
5.000000000000000000e+00 9.000000000000000000e+00 7.478404045104980469e-02 5.005378667265165671e-01 5.000000000000000000e-01 5.378667265165670841e-04 1.075733453033134168e-03 9.944073472938157465e-01
6.000000000000000000e+00 1.100000000000000000e+01 4.878950119018554688e-02 5.009765084833062154e-01 5.000000000000000000e-01 9.765084833062154246e-04 1.953016966612430849e-03 9.976195845736128831e-01
7.000000000000000000e+00 1.300000000000000000e+01 3.256249427795410156e-02 5.007491640280945511e-01 5.000000000000000000e-01 7.491640280945510710e-04 1.498328056189102142e-03 9.989396839663982064e-01
