n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 3.363943099975585938e-01 3.363943099975585938e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 2.478084564208984375e-01 4.249801635742187500e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 1.323394775390625000e-01 4.455477396647135047e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 3.999257087707519531e-02 4.507010664258683796e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 1.367759704589843750e-02 4.521924109685986348e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 1.308250427246093750e-02 4.526972726254478996e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 1.842737197875976562e-02 4.526157405894031260e-01 5.000000000000000000e-01
