n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 4.581823348999023438e-01 4.581823348999023438e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 3.918912410736083984e-01 5.244734287261962891e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 2.801425457000732422e-01 5.314179261525471265e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 1.376862525939941406e-01 5.315271105085099812e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 1.096868515014648438e-02 5.310584552704338268e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 -1.132369041442871094e-02 5.307217281779079698e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 7.207393646240234375e-03 5.308011412250339678e-01 5.000000000000000000e-01
