n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 3.797707557678222656e-01 3.797707557678222656e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 2.894327640533447266e-01 4.701087474822998047e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 1.648290157318115234e-01 4.887994925181072814e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 6.210851669311523438e-02 4.925043469383602046e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 1.085996627807617188e-02 4.931096167791455542e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 1.393747329711914062e-02 4.931206470749283088e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 1.840496063232421875e-02 4.931476203705149608e-01 5.000000000000000000e-01
