n amplification_factors noise_amplified_exp_vals mitigated_exp_vals
1.000000000000000000e+00 1.000000000000000000e+00 1.831385579792133844e-01 1.831385579792133844e-01
2.000000000000000000e+00 3.000000000000000000e+00 7.710779027265542152e-02 2.361539418324923589e-01
3.000000000000000000e+00 5.000000000000000000e+00 1.167940266927083304e-01 2.907978183799714289e-01
4.000000000000000000e+00 7.000000000000000000e+00 1.177657063802083348e-01 3.484326811484601549e-01
5.000000000000000000e+00 9.000000000000000000e+00 1.290394176136363535e-01 4.122661594282840403e-01
6.000000000000000000e+00 1.100000000000000000e+01 1.287411071119029249e-01 4.871620337015651891e-01
7.000000000000000000e+00 1.300000000000000000e+01 1.668537059219221963e-01 5.880184421316210219e-01
