n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal absolute_error relative_error variances
1.000000000000000000e+00 1.000000000000000000e+00 4.208965301513671875e-01 4.208965301513671875e-01 5.000000000000000000e-01 7.910346984863281250e-02 1.582069396972656250e-01 8.228461109065392520e-01
2.000000000000000000e+00 3.000000000000000000e+00 2.988049983978271484e-01 4.819422960281372070e-01 5.000000000000000000e-01 1.805770397186279297e-02 3.611540794372558594e-02 9.107155729324745153e-01
3.000000000000000000e+00 5.000000000000000000e+00 2.118752002716064453e-01 4.951279461383819580e-01 5.000000000000000000e-01 4.872053861618041992e-03 9.744107723236083984e-03 9.551088995098666601e-01
4.000000000000000000e+00 7.000000000000000000e+00 1.506352424621582031e-01 4.980879127979278564e-01 5.000000000000000000e-01 1.912087202072143555e-03 3.824174404144287109e-03 9.773090237283668102e-01
5.000000000000000000e+00 9.000000000000000000e+00 1.069126129150390625e-01 4.984432123601429954e-01 5.000000000000000000e-01 1.556787639857004635e-03 3.113575279714009270e-03 9.885696931996790227e-01
6.000000000000000000e+00 1.100000000000000000e+01 7.589340209960937500e-02 4.979364508763057806e-01 5.000000000000000000e-01 2.063549123694219389e-03 4.127098247388438779e-03 9.942401915177470073e-01
7.000000000000000000e+00 1.300000000000000000e+01 5.354809761047363281e-02 4.968912149779276533e-01 5.000000000000000000e-01 3.108785022072346749e-03 6.217570044144693497e-03 9.971326012422991880e-01
