n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 4.049611091613769531e-01 4.049611091613769531e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 3.416104316711425781e-01 4.683117866516113281e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 2.292304039001464844e-01 4.730855623881021765e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 1.121311187744140625e-01 4.706867308843702968e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 2.587199211120605469e-02 4.685098822154694087e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 1.438045501708984375e-02 4.671988514589151542e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 7.052183151245117188e-03 4.674931568018796391e-01 5.000000000000000000e-01
