n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 3.794918060302734375e-01 3.794918060302734375e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 2.971420288085937500e-01 4.618415832519531250e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 1.870141029357910156e-01 4.800321261088055236e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 8.817720413208007812e-02 4.846448671250115359e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 5.163669586181640625e-02 4.860747019449866979e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 4.175519943237304688e-02 4.866063313305959426e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 4.617762565612792969e-02 4.865130050720165578e-01 5.000000000000000000e-01
