n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 4.212129116058349609e-01 4.212129116058349609e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 3.488414287567138672e-01 4.935843944549560547e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 2.226228713989257812e-01 4.997591972351073109e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 1.097495555877685547e-01 4.966417607806978829e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 2.182221412658691406e-02 4.936444108448327928e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 -5.600452423095703125e-03 4.917942023680141883e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 -1.154255867004394531e-02 4.922144881672001482e-01 5.000000000000000000e-01
