n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 3.308963775634765625e-01 3.308963775634765625e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 2.274186611175537109e-01 4.343740940093994141e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 1.129829883575439453e-01 4.652140140533447266e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 4.556632041931152344e-02 4.751485075269424874e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 3.574752807617187500e-02 4.787935574849443432e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 2.263832092285156250e-02 4.802987441977534244e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 1.758265495300292969e-02 4.800183598309755162e-01 5.000000000000000000e-01
