n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 4.339380264282226562e-01 4.339380264282226562e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 3.423407077789306641e-01 5.255353450775146484e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 2.355327606201171875e-01 5.509975751241048547e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 1.493694782257080078e-01 5.594782488686697031e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 2.878117561340332031e-02 5.625470774514329531e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 1.087594032287597656e-02 5.637540411228896264e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 -7.165908813476562500e-03 5.635399648630836644e-01 5.000000000000000000e-01
