n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal
1.000000000000000000e+00 1.000000000000000000e+00 4.045631885528564453e-01 4.045631885528564453e-01 5.000000000000000000e-01
2.000000000000000000e+00 2.000000000000000000e+00 3.392207622528076172e-01 4.699056148529052734e-01 5.000000000000000000e-01
3.000000000000000000e+00 4.000000000000000000e+00 2.228798866271972656e-01 4.746869405110677453e-01 5.000000000000000000e-01
4.000000000000000000e+00 8.000000000000000000e+00 1.251652240753173828e-01 4.709921223776680765e-01 5.000000000000000000e-01
5.000000000000000000e+00 1.600000000000000000e+01 1.934409141540527344e-02 4.675921553657165219e-01 5.000000000000000000e-01
6.000000000000000000e+00 3.200000000000000000e+01 -7.724523544311523438e-03 4.654862612623222873e-01 5.000000000000000000e-01
7.000000000000000000e+00 6.400000000000000000e+01 -1.034617424011230469e-02 4.659668401525063341e-01 5.000000000000000000e-01
