n amp_factors noise_amplified_exp_vals mitigated_exp_vals ideal absolute_error relative_error variances
1.000000000000000000e+00 1.000000000000000000e+00 3.347337245941162109e-01 3.347337245941162109e-01 5.000000000000000000e-01 1.652662754058837891e-01 3.305325508117675781e-01 8.879533336193503601e-01
2.000000000000000000e+00 3.000000000000000000e+00 1.526744365692138672e-01 4.257633686065673828e-01 5.000000000000000000e-01 7.423663139343261719e-02 1.484732627868652344e-01 9.766905164182730914e-01
3.000000000000000000e+00 5.000000000000000000e+00 7.911396026611328125e-02 4.664504230022430420e-01 5.000000000000000000e-01 3.354957699775695801e-02 6.709915399551391602e-02 9.937409812910118490e-01
4.000000000000000000e+00 7.000000000000000000e+00 4.882359504699707031e-02 4.868343919515609741e-01 5.000000000000000000e-01 1.316560804843902588e-02 2.633121609687805176e-02 9.976162565666868431e-01
5.000000000000000000e+00 9.000000000000000000e+00 3.687262535095214844e-02 4.978533722460258826e-01 5.000000000000000000e-01 2.146627753974117425e-03 4.293255507948234850e-03 9.986404094997283210e-01
6.000000000000000000e+00 1.100000000000000000e+01 3.198647499084472656e-02 5.044097639620699347e-01 5.000000000000000000e-01 4.409763962069934706e-03 8.819527924139869413e-03 9.989768654176600648e-01
7.000000000000000000e+00 1.300000000000000000e+01 2.961444854736328125e-02 5.088559696452372716e-01 5.000000000000000000e-01 8.855969645237271592e-03 1.771193929047454318e-02 9.991229844372355728e-01
